id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
BEJ03A,1,1,id song,.71844661,.28155339,.71844661,3.7487261,3.7487261,BEJ03
BEJ03B,0,1,id speech,.84558821,.15441176,.84558821,4.440268,4.440268,BEJ03
BEJ04C,1,0,ad song,.6796875,.3203125,.3203125,4.3858252,4.3858252,BEJ04
BEJ04D,0,0,ad speech,.08730159,.91269839,.91269839,3.3183422,3.3183422,BEJ04
BEJ05C,1,0,ad song,.80909091,.19090909,.19090909,3.4155715,3.4155715,BEJ05
BEJ05D,0,0,ad speech,.10714286,.89285713,.89285713,3.1514688,3.1514688,BEJ05
BEJ05A,1,1,id song,.90476191,.095238097,.90476191,2.5312896,2.5312896,BEJ05
BEJ06C,1,0,ad song,.66055048,.33944955,.33944955,3.4678109,3.4678109,BEJ06
BEJ06A,1,1,id song,.89041096,.10958904,.89041096,3.2674608,3.2674608,BEJ06
BEJ07C,1,0,ad song,.77118641,.22881356,.22881356,4.0942593,4.0942593,BEJ07
BEJ07D,0,0,ad speech,.12280702,.87719297,.87719297,3.8241856,3.8241856,BEJ07
BEJ07A,1,1,id song,.92805755,.071942449,.92805755,3.1145556,3.1145556,BEJ07
BEJ08C,1,0,ad song,.88596493,.11403508,.11403508,3.1646924,3.1646924,BEJ08
BEJ08D,0,0,ad speech,.50847459,.49152541,.49152541,3.4941928,3.4941928,BEJ08
BEJ08A,1,1,id song,.86259544,.13740458,.86259544,3.1108272,3.1108272,BEJ08
BEJ08B,0,1,id speech,.95041323,.049586777,.95041323,2.5041151,2.5041151,BEJ08
BEJ09C,1,0,ad song,.77397263,.2260274,.2260274,4.6698065,4.6698065,BEJ09
BEJ09A,1,1,id song,.96747965,.032520324,.96747965,2.8809826,2.8809826,BEJ09
BEJ09B,0,1,id speech,.88034189,.11965812,.88034189,2.8911667,2.8911667,BEJ09
BEJ10C,1,0,ad song,.56818181,.43181819,.43181819,3.5959167,3.5959167,BEJ10
BEJ10D,0,0,ad speech,.2920354,.7079646,.7079646,4.4387565,4.4387565,BEJ10
